age,budget_per_person_daily,city_you_resided_in,travel_group_composition,types_of_attractions,places_visited_in_the_uae,season
44,87,Sharjah,6,Landmark,Jumeirah Mosque,Winter
22,2605,Ajman,2,Shopping,Gold Souk,Winter
92,21,Dubai,8,Historical,Dubai Creek,Summer
61,173,Ajman,9,Landmark,Dubai Museum at Al Fahidi Fort,Winter
5,397,Dubai,1,Kids,Kidzania,Winter
20,347,Ajman,4,Kids,IMG Worlds of Adventure,Winter
42,120,Dubai,2,Kids,Butterfly Garden,Summer
48,584,Ajman,2,Landmark,Atlantis The Palm,Summer
12,235,Abu Dhabi,6,Kids,OliOli,Winter
7,382,Fujairah,5,Kids,Kidzania,Winter
20,131,Ajman,5,Kids,Butterfly Garden,Winter
49,223,Fujairah,9,Historical,Sharjah Art Museum,Winter
93,32,Ras Al Khaimah,10,Kids,Ras Al Khor Wildlife Sanctuary,Winter
38,20,Abu Dhabi,4,Historical,Hatta Heritage Village,Winter
69,3928,Dubai,3,Landmark,Sir Bani Yas Island,Summer
39,1233,Umm Al Qaiwain,9,Landmark,Emirates Palace,Summer
73,147,Dubai,1,Historical,Al Jazirah Al Hamra,Winter
44,477,Dubai,5,Kids,Dreamland Aqua Park,Winter
32,227,Sharjah,4,Landmark,Ajman Beach,Summer
22,633,Ras Al Khaimah,7,Kids,Ferrari World,Winter
30,190,Abu Dhabi,2,Landmark,Dubai Frame,Summer
7,53,Sharjah,3,Kids,Childrens City,Summer
78,129,Ras Al Khaimah,6,Historical,Al Bidya Mosque,Winter
27,601,Umm Al Qaiwain,8,Kids,Ferrari World,Winter
5,414,Dubai,1,Kids,Legoland Dubai,Summer
26,33,Fujairah,5,Historical,Umm Al Quwain Fort and Museum,Winter
16,176,Abu Dhabi,3,Landmark,Dubai Frame,Summer
80,123,Ajman,8,Historical,Ajman Museum,Winter
25,785,Abu Dhabi,3,Shopping,Mall of the Emirates,Winter
78,109,Ajman,1,Landmark,Fujairah Fort,Summer
7,88,Umm Al Qaiwain,4,Historical,Al Ain Oasis,Winter
86,58,Abu Dhabi,7,Outdoor,Ras Al Khor Wildlife Sanctuary,Winter
79,154,Sharjah,1,Landmark,Al Bidya Mosque,Winter
85,77,Sharjah,1,Outdoor,Wadi Shawka,Winter
39,128,Ras Al Khaimah,9,Historical,Ajman Museum,Summer
26,728,Ajman,4,Kids,Yas Waterworld,Winter
63,4170,Fujairah,3,Shopping,Dubai Mall,Winter
3,808,Umm Al Qaiwain,8,Shopping,Mall of the Emirates,Summer
11,47,Ajman,6,Kids,Childrens City,Winter
35,390,Dubai,2,Outdoor,Sir Bani Yas Island,Summer
20,130,Ajman,3,Kids,Miracle Garden,Summer
11,94,Ajman,9,Historical,Sharjah Art Museum,Winter
48,26,Abu Dhabi,7,Historical,Dubai Creek,Summer
38,129,Abu Dhabi,9,Landmark,Dubai Museum at Al Fahidi Fort,Summer
17,95,Dubai,4,Landmark,Jebel Hafeet,Summer
20,142,Ras Al Khaimah,3,Landmark,Hatta Dam,Summer
61,2111,Abu Dhabi,9,Historical,Burj Al Arab,Winter
13,80,Abu Dhabi,2,Landmark,Jumeirah Mosque,Summer
18,1450,Dubai,4,Landmark,Sir Bani Yas Island,Summer
16,271,Sharjah,4,Landmark,Jumeirah Beach Residence,Summer
45,108,Ajman,7,Landmark,Dubai Frame,Summer
47,150,Ajman,2,Landmark,Saadiyat Island,Summer
24,250,Fujairah,10,Outdoor,Saadiyat Island,Winter
31,63,Fujairah,2,Historical,Sharjah Museum of Islamic Civilization,Summer
18,626,Abu Dhabi,9,Kids,Yas Waterworld,Winter
13,197,Ajman,2,Historical,Al Ain Oasis,Summer
52,112,Umm Al Qaiwain,7,Outdoor,Saadiyat Island,Summer
10,32,Abu Dhabi,7,Landmark,Sheikh Zayed Grand Mosque,Summer
16,97,Fujairah,10,Historical,Dubai Museum at Al Fahidi Fort,Summer
47,138,Sharjah,1,Landmark,Al Bidya Mosque,Summer
31,134,Ras Al Khaimah,9,Historical,Al Bidya Mosque,Summer
10,497,Umm Al Qaiwain,1,Kids,IMG Worlds of Adventure,Winter
38,305,Sharjah,1,Historical,Wadi Adventure,Winter
40,116,Fujairah,2,Kids,Sharjah Aquarium,Winter
52,165,Fujairah,1,Outdoor,Al Ain Oasis,Winter
5,20,Umm Al Qaiwain,9,Kids,Ras Al Khor Wildlife Sanctuary,Winter
24,94,Umm Al Qaiwain,6,Kids,Sharjah Aquarium,Winter
12,119,Ras Al Khaimah,10,Historical,Sheikh Zayed Grand Mosque,Winter
51,65,Umm Al Qaiwain,10,Landmark,Hatta Dam,Summer
77,3923,Ajman,3,Shopping,Yas Mall,Winter
30,1891,Ajman,8,Landmark,Sir Bani Yas Island,Summer
60,17,Umm Al Qaiwain,7,Outdoor,Wadi Shawka,Summer
7,62,Fujairah,2,Kids,Ras Al Khor Wildlife Sanctuary,Summer
75,254,Umm Al Qaiwain,2,Outdoor,Jumeirah Beach Residence,Summer
63,84,Abu Dhabi,10,Historical,Emirates Palace,Summer
40,35,Fujairah,6,Landmark,Dubai Creek,Summer
12,336,Ras Al Khaimah,1,Kids,IMG Worlds of Adventure,Summer
0,1114,Dubai,2,Shopping,Yas Mall,Winter
48,68,Dubai,10,Historical,Al Jazirah Al Hamra,Winter
19,136,Dubai,4,Landmark,Atlantis The Palm,Summer
20,2803,Ajman,8,Shopping,Yas Mall,Summer
6,528,Dubai,9,Kids,Yas Waterworld,Winter
42,67,Ajman,5,Historical,Sharjah Art Museum,Summer
18,106,Dubai,1,Historical,Fujairah Fort,Summer
58,80,Sharjah,1,Historical,Sharjah Museum of Islamic Civilization,Summer
77,24,Dubai,8,Historical,Umm Al Quwain Fort and Museum,Summer
12,95,Ajman,2,Historical,Ajman Museum,Summer
7,440,Ras Al Khaimah,6,Kids,Yas Waterworld,Summer
35,105,Abu Dhabi,2,Kids,Miracle Garden,Winter
52,85,Dubai,7,Landmark,Hatta Dam,Summer
52,48,Sharjah,7,Historical,Al Ain Oasis,Winter
74,171,Ras Al Khaimah,10,Historical,Liwa Oasis,Summer
82,35,Fujairah,2,Landmark,Al Noor Mosque,Summer
8,214,Umm Al Qaiwain,5,Kids,OliOli,Summer
38,124,Abu Dhabi,4,Landmark,Emirates Palace,Winter
27,141,Abu Dhabi,6,Landmark,Qasr Al Watan,Winter
64,508,Sharjah,9,Landmark,Atlantis The Palm,Summer
52,37,Abu Dhabi,8,Landmark,Al Noor Mosque,Winter
44,65,Umm Al Qaiwain,6,Historical,Jumeirah Mosque,Winter
72,137,Ajman,6,Historical,Al Jazirah Al Hamra,Winter
67,63,Ajman,8,Landmark,Hatta Heritage Village,Summer
90,89,Fujairah,2,Outdoor,Al Marmoom Desert Conservation Reserve,Winter
43,74,Abu Dhabi,2,Landmark,Jebel Hafeet,Winter
18,652,Sharjah,10,Kids,Ferrari World,Summer
98,2089,Umm Al Qaiwain,10,Shopping,Gold Souk,Summer
13,396,Dubai,2,Kids,Legoland Dubai,Winter
13,468,Ajman,5,Kids,Legoland Dubai,Summer
11,12,Dubai,7,Kids,Ras Al Khor Wildlife Sanctuary,Winter
54,111,Ajman,2,Landmark,Ajman Beach,Summer
79,52,Ajman,9,Historical,Umm Al Quwain Fort and Museum,Summer
57,1623,Ras Al Khaimah,10,Landmark,Emirates Palace,Winter
73,153,Ras Al Khaimah,4,Historical,Al Ain Oasis,Summer
100,23,Abu Dhabi,2,Kids,Ras Al Khor Wildlife Sanctuary,Summer
30,119,Umm Al Qaiwain,8,Kids,Butterfly Garden,Winter
62,15,Sharjah,2,Outdoor,Ras Al Khor Wildlife Sanctuary,Winter
12,118,Ajman,9,Historical,Fujairah Fort,Winter
86,96,Ajman,7,Landmark,Ajman Beach,Winter
20,169,Dubai,7,Kids,Miracle Garden,Winter
61,109,Ras Al Khaimah,1,Historical,Sharjah Museum of Islamic Civilization,Winter
13,36,Abu Dhabi,4,Landmark,Burj Khalifa,Winter
31,319,Dubai,8,Kids,Ski Dubai,Winter
4,84,Ajman,2,Outdoor,Al Marmoom Desert Conservation Reserve,Winter
15,101,Sharjah,8,Outdoor,Al Ain Zoo,Winter
27,140,Umm Al Qaiwain,4,Landmark,Jebel Hafeet,Summer
20,344,Sharjah,1,Kids,Dreamland Aqua Park,Winter
32,159,Dubai,4,Outdoor,Al Qudra Lakes,Summer
53,54,Abu Dhabi,7,Historical,Al Noor Mosque,Summer
36,139,Abu Dhabi,1,Landmark,Hatta Dam,Winter
75,629,Ras Al Khaimah,9,Shopping,Global Village,Winter
41,116,Sharjah,6,Historical,Sharjah Museum of Islamic Civilization,Summer
96,64,Sharjah,7,Outdoor,Jebel Hafeet,Summer
7,108,Dubai,8,Outdoor,Jumeirah Beach Residence,Winter
7,409,Ajman,6,Kids,Legoland Dubai,Winter
42,66,Ras Al Khaimah,3,Historical,Ajman Museum,Winter
99,245,Abu Dhabi,1,Shopping,Mall of the Emirates,Summer
56,115,Abu Dhabi,4,Historical,Al Jazirah Al Hamra,Summer
21,454,Umm Al Qaiwain,7,Kids,Dreamland Aqua Park,Summer
59,343,Umm Al Qaiwain,8,Outdoor,Liwa Oasis,Winter
22,63,Abu Dhabi,3,Landmark,Jebel Jais,Winter
72,247,Dubai,8,Landmark,Emirates Palace,Winter
15,4230,Dubai,8,Shopping,Gold Souk,Summer
13,169,Dubai,4,Landmark,Dubai Museum at Al Fahidi Fort,Summer
25,92,Fujairah,10,Historical,Al Jazirah Al Hamra,Winter
48,110,Ras Al Khaimah,1,Kids,Sharjah Aquarium,Summer
11,551,Abu Dhabi,2,Landmark,Burj Al Arab,Summer
14,382,Ajman,10,Kids,Legoland Dubai,Summer
17,302,Ras Al Khaimah,10,Kids,Ski Dubai,Summer
32,76,Dubai,2,Historical,Qasr Al Hosn,Summer
34,108,Dubai,10,Landmark,Ajman Beach,Summer
33,131,Fujairah,7,Outdoor,Dubai Fountain,Summer
7,54,Fujairah,4,Landmark,Ajman Beach,Summer
7,228,Ajman,3,Kids,OliOli,Summer
19,192,Umm Al Qaiwain,6,Outdoor,Al Ain Oasis,Winter
48,30,Ras Al Khaimah,2,Historical,Al Noor Mosque,Summer
12,344,Fujairah,9,Kids,Kidzania,Summer
43,130,Sharjah,8,Landmark,Jebel Hafeet,Summer
20,564,Sharjah,8,Kids,Yas Waterworld,Summer
57,78,Fujairah,8,Outdoor,Jebel Hafeet,Summer
49,94,Abu Dhabi,10,Landmark,Ajman Beach,Summer
43,2344,Ajman,1,Landmark,Burj Al Arab,Winter
36,54,Fujairah,9,Outdoor,Al Marmoom Desert Conservation Reserve,Winter
5,75,Dubai,1,Kids,Childrens City,Summer
16,143,Abu Dhabi,5,Landmark,Qasr Al Hosn,Winter
74,173,Dubai,4,Historical,Sharjah Art Museum,Summer
27,146,Fujairah,2,Kids,Bounce Dubai,Winter
25,109,Dubai,10,Historical,Qasr Al Hosn,Summer
5,216,Sharjah,3,Kids,OliOli,Winter
74,149,Ras Al Khaimah,3,Historical,Al Jazirah Al Hamra,Summer
30,48,Ras Al Khaimah,1,Historical,Al Noor Mosque,Summer
35,16,Abu Dhabi,6,Landmark,Dubai Creek,Winter
21,66,Sharjah,5,Outdoor,Miracle Garden,Winter
13,121,Abu Dhabi,6,Kids,Sharjah Aquarium,Summer
73,33,Ajman,6,Shopping,Gold Souk,Summer
13,240,Sharjah,1,Kids,Dreamland Aqua Park,Winter
78,91,Sharjah,9,Historical,Fujairah Fort,Winter
16,477,Dubai,6,Landmark,Sir Bani Yas Island,Summer
45,596,Umm Al Qaiwain,7,Kids,Ferrari World,Winter
7,104,Umm Al Qaiwain,7,Kids,Butterfly Garden,Summer
14,427,Ajman,10,Kids,Kidzania,Summer
22,64,Sharjah,1,Outdoor,Jumeirah Beach Residence,Winter
27,632,Abu Dhabi,6,Landmark,Louvre Abu Dhabi,Summer
30,59,Sharjah,7,Historical,Al Jazirah Al Hamra,Winter
30,1439,Ajman,5,Kids,Atlantis The Palm,Winter
37,325,Ajman,4,Kids,Ski Dubai,Winter
18,123,Ras Al Khaimah,10,Outdoor,Miracle Garden,Summer
32,304,Sharjah,10,Kids,Ski Dubai,Winter
82,103,Umm Al Qaiwain,8,Outdoor,Al Qudra Lakes,Winter
16,121,Sharjah,7,Historical,Ajman Museum,Winter
5,452,Fujairah,1,Kids,Yas Waterworld,Summer
19,194,Ras Al Khaimah,8,Landmark,Madinat Jumeirah,Summer
4,484,Abu Dhabi,10,Kids,Kidzania,Winter
11,660,Dubai,7,Kids,Ferrari World,Summer
89,68,Ajman,8,Historical,Al Noor Mosque,Winter
14,94,Umm Al Qaiwain,5,Outdoor,Global Village,Summer
99,126,Sharjah,2,Landmark,Jumeirah Beach Residence,Winter
68,49,Abu Dhabi,4,Landmark,Jumeirah Mosque,Summer
14,77,Fujairah,9,Outdoor,Dubai Fountain,Winter
5,25,Ajman,7,Kids,Childrens City,Winter
34,112,Sharjah,1,Shopping,Madinat Jumeirah,Summer
4,183,Fujairah,9,Kids,OliOli,Summer
26,373,Umm Al Qaiwain,1,Kids,Warner Bros World,Summer
32,139,Dubai,3,Kids,Bounce Dubai,Winter
25,84,Ajman,9,Outdoor,Saadiyat Island,Winter
70,205,Dubai,5,Landmark,Burj Khalifa,Summer
14,161,Ras Al Khaimah,9,Landmark,Fujairah Fort,Winter
65,84,Ajman,6,Historical,Umm Al Quwain Fort and Museum,Summer
72,73,Fujairah,4,Outdoor,Jebel Hafeet,Winter
34,174,Ajman,5,Kids,The Green Planet,Summer
19,288,Abu Dhabi,4,Kids,Ski Dubai,Winter
23,181,Ras Al Khaimah,2,Landmark,Jebel Jais,Summer
61,296,Umm Al Qaiwain,3,Shopping,Madinat Jumeirah,Winter
27,172,Fujairah,4,Landmark,Dubai Fountain,Summer
38,127,Ras Al Khaimah,10,Historical,Qasr Al Watan,Summer
20,413,Sharjah,5,Kids,Wadi Adventure,Summer
32,88,Dubai,8,Kids,Sharjah Aquarium,Winter
34,211,Ajman,3,Outdoor,Al Qudra Lakes,Winter
80,139,Abu Dhabi,10,Landmark,Hatta Heritage Village,Summer
9,383,Umm Al Qaiwain,10,Kids,Legoland Dubai,Summer
32,109,Sharjah,9,Landmark,Sheikh Zayed Grand Mosque,Winter
49,195,Dubai,2,Kids,Al Ain Zoo,Summer
42,78,Umm Al Qaiwain,5,Landmark,Hatta Dam,Winter
21,186,Abu Dhabi,5,Outdoor,Al Qudra Lakes,Summer
95,2904,Umm Al Qaiwain,9,Shopping,Mall of the Emirates,Winter
31,1341,Fujairah,10,Outdoor,Sir Bani Yas Island,Winter
52,190,Ajman,3,Outdoor,Jebel Jais,Summer
42,110,Fujairah,7,Historical,Ajman Museum,Winter
48,70,Dubai,1,Landmark,Dubai Creek,Winter
70,494,Ras Al Khaimah,6,Historical,The Dubai Opera,Winter
12,247,Umm Al Qaiwain,6,Shopping,Madinat Jumeirah,Summer
11,108,Ajman,5,Historical,Hatta Heritage Village,Summer
38,115,Fujairah,6,Landmark,Jebel Jais,Winter
87,56,Ajman,9,Historical,Al Noor Mosque,Winter
50,122,Ajman,5,Kids,Sharjah Aquarium,Summer
74,80,Ras Al Khaimah,3,Landmark,Hatta Dam,Summer
41,2093,Fujairah,6,Shopping,Mall of the Emirates,Winter
20,3308,Ras Al Khaimah,9,Shopping,Gold Souk,Summer
25,711,Abu Dhabi,6,Landmark,Emirates Palace,Summer
35,112,Umm Al Qaiwain,5,Historical,Ajman Museum,Winter
99,20,Fujairah,2,Outdoor,Hatta Heritage Village,Winter
28,192,Abu Dhabi,1,Outdoor,Miracle Garden,Summer
69,129,Abu Dhabi,10,Historical,Fujairah Fort,Summer
66,51,Abu Dhabi,7,Landmark,Dubai Museum at Al Fahidi Fort,Winter
14,42,Ras Al Khaimah,10,Landmark,Dubai Creek,Summer
34,179,Sharjah,4,Kids,Miracle Garden,Winter
79,1186,Ajman,10,Landmark,Emirates Palace,Summer
39,145,Ras Al Khaimah,3,Landmark,Dubai Fountain,Winter
19,2829,Ras Al Khaimah,6,Shopping,Mall of the Emirates,Winter
82,112,Dubai,1,Outdoor,Jumeirah Beach Residence,Summer
21,102,Ajman,3,Historical,Qasr Al Hosn,Winter
68,67,Ajman,3,Historical,Ajman Museum,Winter
32,78,Dubai,8,Kids,Sharjah Aquarium,Winter
73,77,Sharjah,2,Outdoor,Jebel Hafeet,Summer
27,99,Fujairah,5,Outdoor,Al Qudra Lakes,Summer
12,289,Umm Al Qaiwain,4,Outdoor,Al Ain Zoo,Summer
12,1187,Ras Al Khaimah,1,Historical,Emirates Palace,Winter
68,173,Dubai,2,Landmark,Dubai Frame,Summer
45,22,Sharjah,3,Landmark,Burj Khalifa,Summer
45,148,Umm Al Qaiwain,7,Historical,Al Jazirah Al Hamra,Winter
38,257,Ajman,5,Kids,Ski Dubai,Summer
71,866,Sharjah,5,Historical,Burj Al Arab,Summer
38,113,Sharjah,8,Historical,Qasr Al Hosn,Winter
16,368,Ras Al Khaimah,4,Kids,Kidzania,Winter
48,18,Fujairah,1,Landmark,Hatta Dam,Winter
60,123,Dubai,5,Historical,Sharjah Art Museum,Winter
32,190,Abu Dhabi,2,Outdoor,Al Ain Oasis,Summer
17,71,Umm Al Qaiwain,2,Landmark,Wadi Shawka,Summer
21,534,Abu Dhabi,10,Kids,Yas Waterworld,Winter
18,40,Fujairah,8,Historical,Dubai Creek,Summer
44,36,Fujairah,8,Outdoor,Ras Al Khor Wildlife Sanctuary,Winter
20,47,Ras Al Khaimah,8,Outdoor,Jebel Hafeet,Winter
83,238,Umm Al Qaiwain,4,Outdoor,Jumeirah Beach Residence,Winter
13,977,Umm Al Qaiwain,3,Shopping,Gold Souk,Winter
10,315,Dubai,6,Kids,Kidzania,Winter
26,3074,Umm Al Qaiwain,6,Landmark,Burj Al Arab,Winter
68,1025,Dubai,8,Historical,Emirates Palace,Winter
19,115,Ras Al Khaimah,3,Landmark,Qasr Al Watan,Winter
10,154,Dubai,6,Kids,The Green Planet,Summer
6,1219,Fujairah,5,Shopping,Dubai Mall,Summer
61,204,Ras Al Khaimah,1,Outdoor,Al Qudra Lakes,Winter
69,213,Fujairah,3,Outdoor,Al Qudra Lakes,Summer
38,1179,Sharjah,7,Shopping,Gold Souk,Winter
42,74,Ajman,6,Historical,Umm Al Quwain Fort and Museum,Summer
68,256,Umm Al Qaiwain,1,Historical,Sharjah Art Museum,Summer
25,4615,Sharjah,10,Shopping,Gold Souk,Summer
70,35,Umm Al Qaiwain,5,Landmark,Ajman Beach,Summer
12,357,Fujairah,1,Landmark,Emirates Palace,Winter
7,223,Fujairah,3,Outdoor,Ajman Beach,Summer
96,24,Ras Al Khaimah,5,Outdoor,Al Marmoom Desert Conservation Reserve,Summer
31,115,Fujairah,5,Landmark,Wadi Shawka,Summer
6,72,Ras Al Khaimah,4,Outdoor,Jebel Hafeet,Winter
35,64,Abu Dhabi,4,Landmark,Saadiyat Island,Winter
39,217,Umm Al Qaiwain,3,Kids,Al Ain Zoo,Summer
47,126,Abu Dhabi,4,Historical,Sheikh Zayed Grand Mosque,Winter
14,416,Sharjah,2,Kids,Warner Bros World,Summer
38,611,Dubai,6,Shopping,Dubai Mall,Summer
71,96,Umm Al Qaiwain,7,Outdoor,Wadi Shawka,Winter
47,700,Sharjah,2,Kids,Ferrari World,Summer
10,408,Umm Al Qaiwain,1,Kids,Legoland Dubai,Summer
43,42,Sharjah,6,Kids,Ras Al Khor Wildlife Sanctuary,Winter
65,47,Ras Al Khaimah,5,Historical,Umm Al Quwain Fort and Museum,Summer
16,124,Sharjah,4,Kids,Sharjah Aquarium,Winter
51,30,Abu Dhabi,5,Outdoor,Jebel Hafeet,Winter
55,270,Ajman,3,Kids,Al Ain Zoo,Winter
17,61,Ras Al Khaimah,1,Historical,Al Noor Mosque,Summer
19,199,Ras Al Khaimah,9,Outdoor,Ajman Beach,Winter
4,390,Umm Al Qaiwain,9,Kids,Legoland Dubai,Summer
40,494,Fujairah,6,Landmark,Emirates Palace,Summer
79,235,Abu Dhabi,7,Landmark,Louvre Abu Dhabi,Summer
54,81,Fujairah,4,Landmark,Qasr Al Hosn,Summer
9,258,Dubai,1,Kids,Dreamland Aqua Park,Summer
35,131,Fujairah,4,Outdoor,Dubai Fountain,Summer
18,86,Dubai,3,Outdoor,Jumeirah Beach Residence,Winter
41,374,Dubai,5,Landmark,Louvre Abu Dhabi,Winter
42,126,Umm Al Qaiwain,2,Historical,Sharjah Art Museum,Summer
32,133,Dubai,1,Landmark,Saadiyat Island,Winter
99,45,Ras Al Khaimah,10,Landmark,Wadi Shawka,Summer
14,249,Umm Al Qaiwain,9,Kids,OliOli,Summer
46,227,Sharjah,2,Outdoor,Al Ain Oasis,Winter
80,1321,Fujairah,1,Historical,Emirates Palace,Summer
46,77,Dubai,7,Landmark,Fujairah Fort,Summer
15,14,Sharjah,7,Landmark,Hatta Dam,Winter
20,421,Ajman,6,Kids,Yas Waterworld,Winter
10,34,Abu Dhabi,2,Historical,Hatta Heritage Village,Winter
53,201,Ajman,1,Outdoor,Dubai Fountain,Summer
6,484,Umm Al Qaiwain,1,Kids,IMG Worlds of Adventure,Winter
100,63,Fujairah,6,Landmark,Wadi Shawka,Summer
57,86,Ajman,4,Landmark,Saadiyat Island,Summer
12,417,Abu Dhabi,2,Kids,Warner Bros World,Summer
67,182,Ras Al Khaimah,5,Landmark,Dubai Frame,Summer
23,620,Dubai,9,Kids,Yas Waterworld,Summer
9,108,Abu Dhabi,5,Outdoor,Hatta Heritage Village,Winter
33,108,Abu Dhabi,7,Outdoor,Al Ain Zoo,Summer
46,180,Umm Al Qaiwain,8,Outdoor,Hatta Dam,Summer
52,146,Dubai,1,Outdoor,Miracle Garden,Winter
45,225,Dubai,7,Landmark,Saadiyat Island,Summer
22,102,Umm Al Qaiwain,10,Outdoor,Jebel Hafeet,Winter
13,905,Sharjah,6,Shopping,Yas Mall,Winter
6,433,Abu Dhabi,5,Kids,Warner Bros World,Summer
84,84,Fujairah,1,Historical,Sheikh Zayed Grand Mosque,Winter
30,187,Sharjah,4,Historical,Hatta Heritage Village,Winter
10,120,Ajman,2,Kids,Butterfly Garden,Summer
71,36,Umm Al Qaiwain,2,Historical,Umm Al Quwain Fort and Museum,Winter
35,640,Fujairah,5,Kids,Ferrari World,Summer
30,132,Dubai,7,Historical,Qasr Al Watan,Summer
16,36,Ajman,10,Kids,Childrens City,Summer
73,65,Ajman,10,Outdoor,Wadi Shawka,Winter
28,306,Dubai,1,Kids,Ski Dubai,Winter
37,69,Sharjah,10,Outdoor,Ras Al Khor Wildlife Sanctuary,Summer
63,168,Sharjah,6,Landmark,Hatta Dam,Summer
100,25,Ras Al Khaimah,3,Historical,Dubai Creek,Summer
22,126,Abu Dhabi,4,Landmark,Dubai Fountain,Summer
14,180,Dubai,4,Outdoor,Jumeirah Beach Residence,Summer
25,152,Fujairah,2,Kids,Bounce Dubai,Winter
33,145,Ajman,6,Outdoor,Al Ain Zoo,Summer
29,229,Fujairah,8,Landmark,Jumeirah Beach Residence,Winter
79,68,Ras Al Khaimah,10,Historical,Al Noor Mosque,Winter
27,53,Umm Al Qaiwain,9,Historical,Dubai Creek,Summer
7,475,Fujairah,6,Kids,Kidzania,Summer
52,414,Ras Al Khaimah,4,Historical,The Dubai Opera,Summer
42,70,Dubai,6,Kids,Ras Al Khor Wildlife Sanctuary,Summer
58,140,Umm Al Qaiwain,9,Landmark,Jebel Hafeet,Summer
38,191,Fujairah,4,Historical,Dubai Museum at Al Fahidi Fort,Summer
13,488,Fujairah,3,Kids,IMG Worlds of Adventure,Summer
6,393,Fujairah,3,Kids,Legoland Dubai,Winter
15,232,Abu Dhabi,7,Landmark,Dubai Frame,Winter
36,95,Sharjah,1,Historical,Jumeirah Mosque,Summer
54,3365,Ajman,9,Shopping,Global Village,Summer
45,140,Ajman,4,Kids,The Green Planet,Winter
25,510,Fujairah,10,Kids,IMG Worlds of Adventure,Winter
23,572,Ras Al Khaimah,1,Landmark,Louvre Abu Dhabi,Summer
60,148,Ras Al Khaimah,5,Landmark,Ajman Beach,Summer
24,101,Ras Al Khaimah,10,Historical,Sharjah Art Museum,Winter
20,117,Umm Al Qaiwain,10,Historical,Sharjah Museum of Islamic Civilization,Winter
16,414,Fujairah,7,Landmark,Louvre Abu Dhabi,Summer
57,1782,Ajman,1,Landmark,Sir Bani Yas Island,Summer
14,106,Umm Al Qaiwain,7,Outdoor,Al Qudra Lakes,Summer
18,4181,Dubai,2,Shopping,Gold Souk,Winter
29,67,Ras Al Khaimah,4,Historical,Sharjah Art Museum,Summer
79,64,Sharjah,9,Landmark,Burj Khalifa,Winter
6,165,Sharjah,6,Kids,Bounce Dubai,Summer
35,107,Abu Dhabi,8,Kids,Sharjah Aquarium,Summer
18,163,Ajman,1,Landmark,Fujairah Fort,Winter
32,47,Umm Al Qaiwain,9,Historical,Al Bidya Mosque,Summer
53,139,Fujairah,1,Landmark,Jebel Hafeet,Summer
58,75,Abu Dhabi,5,Landmark,Al Bidya Mosque,Winter
29,240,Ras Al Khaimah,6,Historical,Sharjah Art Museum,Summer
65,533,Sharjah,1,Landmark,Louvre Abu Dhabi,Winter
28,160,Abu Dhabi,4,Kids,The Green Planet,Winter
16,321,Ajman,7,Historical,Wadi Adventure,Summer
33,36,Ajman,9,Outdoor,Al Qudra Lakes,Summer
1,108,Umm Al Qaiwain,4,Outdoor,Al Marmoom Desert Conservation Reserve,Summer
65,140,Abu Dhabi,9,Historical,Qasr Al Watan,Summer
17,29,Sharjah,8,Outdoor,Jebel Jais,Winter
78,43,Umm Al Qaiwain,10,Landmark,Jumeirah Mosque,Winter
78,48,Ras Al Khaimah,7,Landmark,Al Noor Mosque,Summer
22,154,Sharjah,1,Kids,The Green Planet,Summer
48,667,Umm Al Qaiwain,2,Kids,Ferrari World,Winter
48,206,Umm Al Qaiwain,10,Landmark,Dubai Frame,Summer
19,445,Sharjah,9,Kids,Ferrari World,Summer
9,2917,Ras Al Khaimah,9,Shopping,Dubai Mall,Summer
39,150,Umm Al Qaiwain,7,Outdoor,Al Qudra Lakes,Winter
13,408,Fujairah,10,Kids,Legoland Dubai,Summer
4,183,Ajman,2,Kids,The Green Planet,Summer
62,87,Sharjah,2,Landmark,Madinat Jumeirah,Winter
49,209,Fujairah,10,Outdoor,Saadiyat Island,Winter
11,168,Dubai,9,Historical,Hatta Heritage Village,Winter
35,61,Ras Al Khaimah,10,Landmark,Al Noor Mosque,Summer
75,200,Dubai,10,Landmark,Jumeirah Beach Residence,Winter
75,3090,Umm Al Qaiwain,8,Shopping,Gold Souk,Summer
26,1432,Ajman,7,Shopping,Global Village,Winter
39,306,Ajman,8,Kids,Dreamland Aqua Park,Winter
2,271,Abu Dhabi,4,Kids,OliOli,Summer
12,429,Ras Al Khaimah,4,Kids,Warner Bros World,Winter
12,235,Ajman,1,Kids,OliOli,Summer
49,100,Sharjah,6,Historical,Sheikh Zayed Grand Mosque,Summer
14,479,Ajman,4,Kids,IMG Worlds of Adventure,Summer
8,29,Fujairah,2,Kids,Childrens City,Summer
24,172,Ras Al Khaimah,4,Landmark,Saadiyat Island,Summer
15,207,Fujairah,7,Landmark,Saadiyat Island,Winter
27,114,Umm Al Qaiwain,6,Historical,Sharjah Museum of Islamic Civilization,Winter
51,126,Dubai,5,Outdoor,Al Marmoom Desert Conservation Reserve,Winter
92,248,Umm Al Qaiwain,5,Outdoor,Ajman Beach,Summer
23,169,Ajman,4,Landmark,Dubai Frame,Winter
96,142,Dubai,1,Landmark,Jumeirah Beach Residence,Summer
43,100,Sharjah,8,Landmark,Madinat Jumeirah,Winter
47,22,Ras Al Khaimah,5,Landmark,Dubai Fountain,Winter
12,361,Ajman,6,Kids,IMG Worlds of Adventure,Summer
